"","Location","Year","count","Family","Species","length","a","b","biomass.kgha","mass.g","FG.fine","lat","lon","Management","state"
"337","Praslin SW Granite","1994",5,"Acanthuridae","Acanthurus leucosternon",23,0.1317,2.392,15.47008878,238,"Herbivore Grazer",-4.313662,55.678717,"Fished","Recovering"
"341","Praslin SW Patch","1994",5,"Acanthuridae","Acanthurus triostegus",16,0.1317,2.392,6.493738873,100,"Herbivore Grazer",-4.333943,55.692044,"Fished","Shifted"
"342","Praslin SW Patch","1994",5,"Acanthuridae","Acanthurus triostegus",18,0.1317,2.392,8.606997057,132,"Herbivore Grazer",-4.333943,55.692044,"Fished","Shifted"
"357","Mahe E Patch","1994",6,"Acanthuridae","Acanthurus nigrofuscus",9,0.0301,2.967,1.32573911,20,"Herbivore Grazer",-4.703574,55.528198,"Fished","Recovering"
"358","Mahe E Patch","1994",6,"Acanthuridae","Acanthurus nigrofuscus",12,0.0301,2.967,3.112800588,48,"Herbivore Grazer",-4.703574,55.528198,"Fished","Recovering"
"359","Mahe E Patch","1994",6,"Acanthuridae","Acanthurus tennentii",20,0.0261,3.024,14.57502343,224,"Herbivore Grazer",-4.703574,55.528198,"Fished","Recovering"
"376","Mahe NW Granite","1994",6,"Acanthuridae","Acanthurus lineatus",19,0.0126,3.064,6.778375532,104,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"377","Mahe NW Granite","1994",6,"Acanthuridae","Acanthurus triostegus",17,0.1317,2.392,7.507124911,116,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"378","Mahe NW Granite","1994",6,"Acanthuridae","Acanthurus triostegus",24,0.1317,2.392,17.12793919,264,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"379","Mahe NW Patch","1994",6,"Acanthuridae","Acanthurus nigrofuscus",14,0.0301,2.967,4.917930927,76,"Herbivore Grazer",-4.614482,55.41627,"Fished","Recovering"
"380","Mahe NW Patch","1994",6,"Acanthuridae","Acanthurus nigrofuscus",15,0.0301,2.967,6.03508385,93,"Herbivore Grazer",-4.614482,55.41627,"Fished","Recovering"
"382","Mahe W Granite","1994",6,"Acanthuridae","Acanthurus lineatus",25,0.0126,3.064,15.71494187,242,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"385","Mahe W Patch","1994",6,"Acanthuridae","Acanthurus nigrofuscus",14,0.0301,2.967,4.917930927,76,"Herbivore Grazer",-4.684675,55.434722,"Fished","Recovering"
"386","Mahe W Patch","1994",6,"Acanthuridae","Acanthurus nigrofuscus",15,0.0301,2.967,6.03508385,93,"Herbivore Grazer",-4.684675,55.434722,"Fished","Recovering"
"387","Mahe W Patch","1994",6,"Acanthuridae","Acanthurus nigrofuscus",17,0.0301,2.967,8.749082114,135,"Herbivore Grazer",-4.684675,55.434722,"Fished","Recovering"
"390","Praslin NE Carbonate","1994",6,"Acanthuridae","Acanthurus leucosternon",18,0.1317,2.392,8.606997057,132,"Herbivore Grazer",-4.315847,55.756687,"Fished","Shifted"
"391","Praslin NE Carbonate","1994",6,"Acanthuridae","Acanthurus leucosternon",23,0.1317,2.392,15.47008878,238,"Herbivore Grazer",-4.315847,55.756687,"Fished","Shifted"
"401","Praslin SW Granite","1994",6,"Acanthuridae","Acanthurus leucosternon",22,0.1317,2.392,13.90960748,214,"Herbivore Grazer",-4.313662,55.678717,"Fished","Recovering"
"402","Praslin SW Granite","1994",6,"Acanthuridae","Acanthurus leucosternon",23,0.1317,2.392,15.47008878,238,"Herbivore Grazer",-4.313662,55.678717,"Fished","Recovering"
"431","Mahe E Carbonate","1994",7,"Acanthuridae","Acanthurus leucosternon",12,0.1317,2.392,3.263182496,50,"Herbivore Grazer",-4.710589,55.52704,"Fished","Shifted"
"432","Mahe E Carbonate","1994",7,"Acanthuridae","Acanthurus leucosternon",20,0.1317,2.392,11.07397584,170,"Herbivore Grazer",-4.710589,55.52704,"Fished","Shifted"
"434","Mahe E Granite","1994",7,"Acanthuridae","Acanthurus nigrofuscus",14,0.0301,2.967,4.917930927,76,"Herbivore Grazer",-4.734961,55.528958,"Fished","Shifted"
"435","Mahe E Granite","1994",7,"Acanthuridae","Acanthurus nigrofuscus",14,0.0301,2.967,4.917930927,76,"Herbivore Grazer",-4.734961,55.528958,"Fished","Shifted"
"436","Mahe E Granite","1994",7,"Acanthuridae","Acanthurus nigrofuscus",14,0.0301,2.967,4.917930927,76,"Herbivore Grazer",-4.734961,55.528958,"Fished","Shifted"
"437","Mahe E Granite","1994",7,"Acanthuridae","Acanthurus nigrofuscus",16,0.0301,2.967,7.308773974,113,"Herbivore Grazer",-4.734961,55.528958,"Fished","Shifted"
"439","Mahe E Patch","1994",7,"Acanthuridae","Acanthurus nigrofuscus",10,0.0301,2.967,1.812260159,28,"Herbivore Grazer",-4.703574,55.528198,"Fished","Recovering"
"440","Mahe E Patch","1994",7,"Acanthuridae","Acanthurus tennentii",13,0.0261,3.024,3.961496276,61,"Herbivore Grazer",-4.703574,55.528198,"Fished","Recovering"
"441","Mahe E Patch","1994",7,"Acanthuridae","Acanthurus tennentii",14,0.0261,3.024,4.956621251,76,"Herbivore Grazer",-4.703574,55.528198,"Fished","Recovering"
"448","Mahe NW Granite","1994",7,"Acanthuridae","Acanthurus triostegus",14,0.1317,2.392,4.718218874,73,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"449","Mahe NW Granite","1994",7,"Acanthuridae","Acanthurus triostegus",14,0.1317,2.392,4.718218874,73,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"450","Mahe NW Granite","1994",7,"Acanthuridae","Acanthurus triostegus",15,0.1317,2.392,5.564807093,86,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"453","Mahe NW Patch","1994",7,"Acanthuridae","Acanthurus nigrofuscus",16,0.0301,2.967,7.308773974,113,"Herbivore Grazer",-4.614482,55.41627,"Fished","Recovering"
"457","Mahe W Granite","1994",7,"Acanthuridae","Acanthurus leucosternon",23,0.1317,2.392,15.47008878,238,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"458","Mahe W Granite","1994",7,"Acanthuridae","Acanthurus nigrofuscus",15,0.0301,2.967,6.03508385,93,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"459","Mahe W Granite","1994",7,"Acanthuridae","Acanthurus nigrofuscus",16,0.0301,2.967,7.308773974,113,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
